time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2021-11-19 14:01:06.122107,24.74,102012.67,29.15,-57.10,-1.70,-1.12,9.65,0.04,-0.15,-0.03,121,0,0,0,1
2021-11-19 14:01:06.399529,24.74,102013.80,29.16,-57.19,-1.69,-1.14,9.66,0.04,-0.15,-0.03,99,0,0,0,1
2021-11-19 14:01:06.878811,24.74,102017.86,29.12,-57.53,-1.66,-1.12,9.67,0.04,-0.15,-0.03,252,0,0,0,1
2021-11-19 14:01:07.359115,24.75,102016.22,29.20,-57.39,-1.70,-1.15,9.61,0.04,-0.15,-0.03,116,0,0,0,1
2021-11-19 14:01:07.839762,24.74,102019.32,29.20,-57.65,-1.68,-1.15,9.66,0.04,-0.15,-0.03,709,0,0,0,1
2021-11-19 14:01:08.319365,24.74,102017.39,29.19,-57.49,-1.70,-1.17,9.70,0.04,-0.15,-0.04,764,0,0,0,1
2021-11-19 14:01:08.799580,24.74,102018.36,29.13,-57.57,-1.69,-1.13,9.66,0.04,-0.15,-0.03,904,0,0,0,1
2021-11-19 14:01:09.279675,24.74,102016.42,29.15,-57.41,-1.70,-1.15,9.68,0.04,-0.15,-0.04,652,0,0,0,1
2021-11-19 14:01:09.759847,24.74,102015.56,29.16,-57.34,-1.69,-1.14,9.66,0.04,-0.15,-0.03,389,1,0,0,1
2021-11-19 14:01:10.238863,24.75,102020.65,29.19,-57.76,-1.68,-1.14,9.66,0.04,-0.15,-0.03,362,0,0,0,1
2021-11-19 14:01:10.719782,24.74,102015.31,29.18,-57.31,-1.72,-1.19,9.66,0.04,-0.15,-0.04,109,0,0,0,1
2021-11-19 14:01:11.199177,24.74,102016.75,29.16,-57.43,-1.69,-1.15,9.66,0.04,-0.15,-0.03,170,0,0,0,1
2021-11-19 14:01:11.679290,24.75,102012.69,29.19,-57.10,-1.72,-1.13,9.68,0.04,-0.15,-0.04,240,0,0,0,1
2021-11-19 14:01:12.159662,24.75,102013.01,29.15,-57.12,-1.70,-1.15,9.68,0.04,-0.15,-0.03,300,1,0,0,1
