time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2021-11-19 13:50:58.869669,24.91,102012.61,29.05,-57.09,-4.12,0.12,8.96,0.04,-0.16,-0.03,451,31,21,17,64
2021-11-19 13:50:59.118353,24.91,102015.17,28.99,-57.30,-4.06,0.11,8.96,0.04,-0.15,-0.03,99,31,21,17,64
2021-11-19 13:50:59.597965,24.91,102016.62,28.93,-57.42,-4.03,0.10,8.95,0.04,-0.15,-0.03,126,32,22,18,64
2021-11-19 13:51:00.078292,24.91,102017.69,28.96,-57.51,-4.07,0.12,8.97,0.04,-0.15,-0.03,84,33,23,18,66
2021-11-19 13:51:00.557906,24.91,102014.85,28.93,-57.28,-4.06,0.14,8.99,0.04,-0.15,-0.03,117,34,23,19,67
2021-11-19 13:51:01.037555,24.91,102013.89,28.97,-57.20,-4.04,0.10,8.94,0.04,-0.15,-0.03,134,33,23,18,67
2021-11-19 13:51:01.518083,24.91,102014.38,28.99,-57.24,-4.06,0.13,8.96,0.04,-0.15,-0.03,100,33,23,18,67
2021-11-19 13:51:01.998326,24.91,102014.53,28.99,-57.25,-4.04,0.11,8.98,0.04,-0.15,-0.03,92,33,23,18,67
2021-11-19 13:51:02.478189,24.90,102014.27,28.97,-57.23,-4.06,0.12,8.95,0.04,-0.15,-0.03,111,33,23,18,67
2021-11-19 13:51:02.958131,24.91,102015.76,29.04,-57.35,-4.05,0.12,8.97,0.04,-0.15,-0.03,144,33,23,18,67
2021-11-19 13:51:03.438267,24.91,102017.20,29.05,-57.47,-4.07,0.14,8.93,0.04,-0.15,-0.03,116,33,22,18,66
2021-11-19 13:51:03.918262,24.91,102013.99,29.09,-57.21,-4.06,0.13,8.97,0.04,-0.15,-0.03,120,33,22,18,66
2021-11-19 13:51:04.397450,24.91,102014.69,29.04,-57.26,-4.09,0.12,8.97,0.04,-0.15,-0.03,98,33,22,18,66
2021-11-19 13:51:04.877844,24.91,102015.03,29.08,-57.29,-4.06,0.13,8.97,0.04,-0.15,-0.03,95,33,22,18,67
2021-11-19 13:51:05.357803,24.91,102016.41,29.07,-57.47,-4.05,0.12,8.98,0.04,-0.15,-0.04,107,33,22,18,66
2021-11-19 13:51:05.838058,24.91,102011.28,29.08,-56.98,-4.09,0.11,9.00,0.04,-0.16,-0.04,133,33,23,18,67
2021-11-19 13:51:06.318240,24.91,102016.09,29.10,-57.38,-4.07,0.12,8.95,0.04,-0.15,-0.03,125,33,23,18,67
2021-11-19 13:51:06.797695,24.91,102012.62,29.10,-57.09,-4.03,0.09,8.96,0.04,-0.15,-0.03,131,33,22,18,66
2021-11-19 13:51:07.277544,24.91,102015.67,29.11,-57.34,-4.07,0.12,8.96,0.04,-0.15,-0.03,129,33,22,18,66
2021-11-19 13:51:07.758153,24.91,102014.33,29.10,-57.23,-4.07,0.12,8.97,0.04,-0.15,-0.03,170,33,22,18,66
2021-11-19 13:51:08.237977,24.92,102013.95,29.05,-57.20,-4.09,0.16,8.95,0.04,-0.15,-0.03,115,33,22,18,66
2021-11-19 13:51:08.718200,24.91,102014.17,29.02,-57.22,-4.06,0.11,8.97,0.04,-0.15,-0.03,113,33,22,18,66
2021-11-19 13:51:09.198039,24.91,102013.05,29.07,-57.13,-4.08,0.14,8.93,0.04,-0.15,-0.03,109,32,22,18,65
2021-11-19 13:51:09.677728,24.92,102014.44,29.01,-57.24,-4.07,0.12,8.96,0.04,-0.15,-0.03,115,31,21,17,64
2021-11-19 13:51:10.157503,24.92,102014.92,29.04,-57.28,-4.09,0.16,8.97,0.04,-0.15,-0.03,111,31,21,17,63
2021-11-19 13:51:10.637982,24.92,102016.44,29.05,-57.41,-4.10,0.10,8.97,0.04,-0.16,-0.04,112,30,20,16,61
2021-11-19 13:51:11.117657,24.92,102016.44,29.01,-57.41,-4.05,0.12,8.96,0.04,-0.15,-0.03,91,13,10,7,27
2021-11-19 13:51:11.597891,24.92,102014.75,29.01,-57.27,-4.09,0.11,8.96,0.04,-0.15,-0.03,106,10,8,5,19
2021-11-19 13:51:12.078044,24.92,102016.38,28.99,-57.40,-4.06,0.11,8.97,0.04,-0.15,-0.03,129,9,7,5,17
2021-11-19 13:51:12.557765,24.91,102014.66,28.99,-57.26,-4.06,0.13,8.97,0.04,-0.15,-0.03,120,8,6,4,16
2021-11-19 13:51:13.038134,24.92,102014.11,29.04,-57.21,-4.04,0.15,8.95,0.03,-0.15,-0.03,112,7,6,4,16
2021-11-19 13:51:13.518047,24.92,102016.05,29.05,-57.38,-4.07,0.14,8.97,0.04,-0.15,-0.03,109,8,6,4,17
2021-11-19 13:51:13.997877,24.92,102016.11,29.01,-57.38,-4.09,0.15,8.97,0.04,-0.15,-0.03,131,8,7,4,17
2021-11-19 13:51:14.477832,24.92,102016.05,29.02,-57.38,-4.06,0.10,8.97,0.04,-0.15,-0.03,87,8,7,4,18
2021-11-19 13:51:14.957464,24.92,102017.48,29.01,-57.50,-4.05,0.13,8.97,0.04,-0.15,-0.03,91,8,7,4,18
2021-11-19 13:51:15.437896,24.92,102014.50,29.01,-57.25,-4.04,0.12,8.95,0.04,-0.15,-0.03,101,8,7,5,18
2021-11-19 13:51:15.918104,24.92,102013.80,29.04,-57.19,-4.06,0.16,8.96,0.04,-0.15,-0.03,112,9,7,5,18
2021-11-19 13:51:16.397979,24.92,102014.44,29.07,-57.24,-4.07,0.08,8.99,0.04,-0.15,-0.03,101,9,7,5,18
2021-11-19 13:51:16.878090,24.92,102017.39,28.99,-57.49,-4.06,0.13,8.97,0.04,-0.15,-0.03,98,9,7,5,19
2021-11-19 13:51:17.357053,24.92,102015.47,29.01,-57.33,-4.07,0.15,8.97,0.04,-0.15,-0.03,83,9,7,5,18
2021-11-19 13:51:17.837956,24.92,102015.72,29.02,-57.35,-4.08,0.08,8.94,0.08,-0.16,-0.04,108,9,7,5,17
2021-11-19 13:51:18.317927,24.91,102017.86,28.99,-57.53,-4.07,0.12,8.95,0.04,-0.15,-0.03,100,8,7,4,16
2021-11-19 13:51:18.797116,24.91,102014.23,29.02,-57.23,-4.06,0.10,8.96,0.04,-0.15,-0.03,100,8,7,4,16
2021-11-19 13:51:19.277750,24.91,102017.22,28.99,-57.47,-4.07,0.13,8.96,0.04,-0.15,-0.03,105,9,7,5,17
2021-11-19 13:51:19.757701,24.91,102017.59,29.01,-57.50,-4.07,0.13,8.96,0.04,-0.15,-0.03,113,9,7,5,17
2021-11-19 13:51:20.238047,24.91,102019.31,28.98,-57.65,-4.05,0.14,8.93,0.04,-0.15,-0.03,134,10,8,5,18
2021-11-19 13:51:20.718025,24.91,102017.86,28.98,-57.53,-4.10,0.13,8.95,0.04,-0.15,-0.03,97,11,8,5,19
2021-11-19 13:51:21.197822,24.91,102016.72,29.04,-57.43,-4.09,0.13,8.95,0.04,-0.15,-0.03,99,11,8,5,19
2021-11-19 13:51:21.677443,24.91,102015.92,28.99,-57.37,-4.07,0.14,8.98,0.04,-0.15,-0.03,118,11,8,5,18
2021-11-19 13:51:22.157281,24.91,102016.24,28.99,-57.39,-4.10,0.16,8.94,0.04,-0.15,-0.03,127,10,8,5,18
2021-11-19 13:51:22.636990,24.91,102015.17,29.04,-57.30,-4.06,0.14,8.95,0.04,-0.15,-0.03,120,10,8,5,17
2021-11-19 13:51:23.117637,24.90,102016.03,28.96,-57.38,-4.06,0.13,8.97,0.04,-0.15,-0.03,101,10,8,5,17
2021-11-19 13:51:23.597995,24.90,102019.14,28.98,-57.63,-4.08,0.11,8.95,0.04,-0.15,-0.04,122,9,7,5,17
2021-11-19 13:51:24.077606,24.90,102015.71,29.02,-57.35,-4.06,0.12,8.97,0.04,-0.15,-0.03,164,9,7,4,17
2021-11-19 13:51:24.557537,24.90,102016.09,28.99,-57.38,-4.05,0.10,8.96,0.04,-0.15,-0.03,126,9,7,5,17
2021-11-19 13:51:25.038021,24.90,102015.45,29.01,-57.33,-4.05,0.16,8.93,0.04,-0.15,-0.03,183,10,8,5,17
2021-11-19 13:51:25.517062,24.90,102015.29,28.99,-57.31,-4.06,0.12,8.98,0.04,-0.15,-0.03,131,10,8,5,18
2021-11-19 13:51:25.997978,24.90,102018.50,29.04,-57.58,-4.06,0.16,8.95,0.04,-0.15,-0.03,169,10,8,5,18
2021-11-19 13:51:26.477508,24.90,102016.57,29.01,-57.42,-4.06,0.12,8.96,0.04,-0.15,-0.03,171,10,8,5,18
2021-11-19 13:51:26.957607,24.90,102015.22,28.98,-57.31,-4.06,0.10,8.97,0.04,-0.15,-0.03,186,10,8,5,18
2021-11-19 13:51:27.437592,24.90,102016.39,28.98,-57.40,-4.07,0.11,8.93,0.04,-0.15,-0.03,201,11,8,5,19
2021-11-19 13:51:27.917686,24.90,102016.18,28.98,-57.39,-4.07,0.13,8.97,0.04,-0.15,-0.03,185,12,9,5,20
2021-11-19 13:51:28.397970,24.90,102014.58,28.96,-57.25,-4.08,0.09,8.94,0.04,-0.15,-0.04,136,13,9,6,21
2021-11-19 13:51:28.877742,24.90,102020.41,28.99,-57.74,-4.06,0.12,8.97,0.04,-0.15,-0.03,113,12,9,6,20
2021-11-19 13:51:29.357166,24.89,102016.06,28.95,-57.38,-4.06,0.09,8.95,0.04,-0.15,-0.03,129,11,9,5,19
2021-11-19 13:51:29.837245,24.89,102016.70,28.96,-57.43,-4.03,0.13,8.96,0.04,-0.15,-0.03,170,11,8,5,18
2021-11-19 13:51:30.317305,24.89,102017.42,28.96,-57.49,-4.07,0.14,8.96,0.04,-0.15,-0.03,130,11,8,5,18
2021-11-19 13:51:30.797883,24.89,102017.58,28.89,-57.50,-4.12,0.14,8.96,0.04,-0.15,-0.03,116,12,9,5,19
2021-11-19 13:51:31.277481,24.89,102017.19,28.97,-57.47,-4.06,0.15,8.97,0.04,-0.15,-0.03,106,12,9,5,20
2021-11-19 13:51:31.757517,24.89,102018.84,28.97,-57.61,-4.08,0.16,8.95,0.04,-0.15,-0.03,135,12,9,5,20
2021-11-19 13:51:32.237808,24.89,102018.58,28.97,-57.59,-4.10,0.12,8.98,0.04,-0.15,-0.03,136,11,9,5,19
