time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2021-11-12 16:40:43.639029,24.64,101616.19,44.57,-24.22,0.10,-0.41,10.21,0.03,-0.15,-0.11,90,120,86,67,250
2021-11-12 16:40:44.004854,24.64,101618.62,44.59,-24.42,0.03,-0.39,10.19,0.03,-0.16,-0.11,113,119,86,67,249
2021-11-12 16:40:44.485218,24.64,101620.31,44.57,-24.56,0.12,-0.40,10.23,0.03,-0.16,-0.11,106,119,86,67,249
2021-11-12 16:40:44.964638,24.64,101618.80,44.59,-24.43,0.09,-0.40,10.21,0.03,-0.16,-0.11,345,119,86,67,250
2021-11-12 16:40:45.445002,24.64,101621.42,44.60,-24.65,0.08,-0.41,10.20,0.03,-0.16,-0.11,447,119,86,67,249
2021-11-12 16:40:45.924551,24.64,101620.48,44.58,-24.57,0.09,-0.37,10.17,0.03,-0.15,-0.11,467,120,86,67,250
2021-11-12 16:40:46.404813,24.64,101621.36,44.58,-24.64,0.08,-0.40,10.17,0.03,-0.19,-0.11,412,120,86,67,250
2021-11-12 16:40:46.884432,24.64,101621.70,44.58,-24.67,0.09,-0.40,10.21,0.03,-0.15,-0.11,580,119,86,67,249
2021-11-12 16:40:47.365357,24.64,101621.77,44.56,-24.68,0.07,-0.39,10.26,0.03,-0.16,-0.11,199,120,86,67,250
2021-11-12 16:40:47.845218,24.64,101622.20,44.59,-24.71,0.10,-0.38,10.20,0.03,-0.16,-0.11,514,120,86,67,250
2021-11-12 16:40:48.324949,24.64,101619.17,44.59,-24.46,0.09,-0.39,10.22,0.03,-0.16,-0.11,425,120,86,67,250
2021-11-12 16:40:48.805218,24.64,101622.20,44.59,-24.71,0.07,-0.41,10.19,0.03,-0.16,-0.11,412,120,86,67,250
2021-11-12 16:40:49.284723,24.64,101619.68,44.54,-24.50,0.11,-0.38,10.24,0.03,-0.16,-0.11,286,119,86,67,250
2021-11-12 16:40:49.765214,24.64,101621.20,44.55,-24.63,0.14,-0.38,10.21,0.03,-0.15,-0.11,240,119,86,67,250
2021-11-12 16:40:50.244646,24.64,101621.27,44.59,-24.64,0.09,-0.39,10.22,0.03,-0.16,-0.11,241,120,86,67,250
2021-11-12 16:40:50.724538,24.64,101618.80,44.58,-24.43,0.09,-0.39,10.24,0.03,-0.16,-0.11,251,120,86,67,250
2021-11-12 16:40:51.204276,24.64,101620.02,44.57,-24.53,0.07,-0.42,10.20,0.03,-0.15,-0.11,173,119,86,67,249
2021-11-12 16:40:51.684768,24.64,101619.41,44.57,-24.48,0.08,-0.39,10.20,0.03,-0.15,-0.11,705,120,86,67,250
2021-11-12 16:40:52.165260,24.64,101619.01,44.57,-24.45,0.09,-0.40,10.22,0.03,-0.15,-0.11,271,119,86,67,249
