time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2021-08-25 12:46:57.632059,26.27,101081.06,40.01,20.33,-9.24,1.66,-2.72,0.10,-0.12,-0.02,134,15,11,12,38
2021-08-25 12:46:57.679061,26.25,101080.30,39.99,20.39,-9.28,1.67,-2.77,0.08,-0.11,-0.05,108,16,11,12,39
2021-08-25 12:46:58.158059,26.24,101080.08,39.91,20.41,-9.28,1.69,-2.76,0.08,-0.11,-0.04,143,16,11,12,39
2021-08-25 12:46:58.638366,26.23,101079.09,39.90,20.49,-9.28,1.68,-2.78,0.09,-0.12,-0.03,100,15,11,12,37
2021-08-25 12:46:59.119420,26.23,101082.05,39.90,20.25,-9.27,1.68,-2.79,0.07,-0.11,-0.05,89,14,11,11,36
2021-08-25 12:46:59.600174,26.22,101080.12,39.84,20.41,-9.25,1.67,-2.80,0.10,-0.12,-0.03,137,15,11,12,37
2021-08-25 12:47:00.078784,26.21,101079.62,39.88,20.45,-9.25,1.65,-2.79,0.10,-0.12,-0.03,115,15,11,12,37
2021-08-25 12:47:00.558817,26.21,101079.45,39.87,20.46,-9.27,1.67,-2.84,0.09,-0.12,-0.04,127,15,11,12,37
2021-08-25 12:47:01.039132,26.20,101077.88,39.88,20.60,-9.23,1.68,-2.85,0.10,-0.12,-0.04,108,15,11,12,37
2021-08-25 12:47:01.518605,26.19,101077.64,39.92,20.62,-9.24,1.66,-2.81,0.07,-0.11,-0.06,145,14,10,10,33
2021-08-25 12:47:01.999283,26.18,101076.70,39.89,20.69,-9.24,1.67,-2.81,0.09,-0.12,-0.04,131,11,6,7,25
2021-08-25 12:47:02.478474,26.17,101077.75,39.88,20.61,-9.27,1.71,-2.83,0.08,-0.12,-0.05,128,14,9,10,33
2021-08-25 12:47:02.958148,26.15,101078.83,39.89,20.52,-9.23,1.66,-2.80,0.08,-0.12,-0.04,129,15,11,11,38
2021-08-25 12:47:03.439590,26.13,101080.23,39.88,20.40,-9.22,1.66,-2.86,0.07,-0.11,-0.05,2058,16,11,12,40
2021-08-25 12:47:03.920269,26.13,101077.27,39.96,20.65,-9.24,1.69,-2.85,0.06,-0.15,-0.00,2202,16,11,12,40
2021-08-25 12:47:04.398934,26.12,101080.99,41.25,20.34,-9.29,1.67,-2.84,0.07,-0.14,-0.03,1902,16,12,12,40
2021-08-25 12:47:04.879632,26.10,101079.07,43.82,20.50,-9.31,1.71,-2.82,0.05,-0.13,-0.03,3382,16,12,12,41
2021-08-25 12:47:05.358212,26.09,101079.25,46.48,20.48,-9.37,1.67,-2.72,0.06,-0.13,-0.02,2363,16,12,12,41
2021-08-25 12:47:05.840867,26.05,101079.79,49.31,20.44,-9.37,1.69,-2.74,0.07,-0.11,-0.01,2910,16,12,12,41
2021-08-25 12:47:06.318958,26.03,101082.67,51.70,20.19,-9.34,1.76,-2.69,0.06,-0.11,-0.00,3537,16,12,12,41
2021-08-25 12:47:06.801172,26.01,101079.52,53.85,20.46,-9.44,1.55,-2.69,0.08,-0.14,-0.07,246,16,12,12,41
2021-08-25 12:47:07.278589,25.98,101076.86,55.72,20.68,-9.36,1.60,-2.81,0.09,-0.13,-0.05,118,16,12,12,41
2021-08-25 12:47:07.759093,25.97,101079.14,56.34,20.49,-9.36,1.60,-2.80,0.09,-0.11,-0.03,6920,16,12,12,41
2021-08-25 12:47:08.240372,26.00,101076.68,55.81,20.70,-9.37,1.65,-2.91,0.08,-0.09,-0.07,4891,16,12,12,41
2021-08-25 12:47:08.719330,26.02,101080.94,56.29,20.34,-9.45,1.62,-2.75,0.08,-0.09,-0.06,4337,16,12,12,41
2021-08-25 12:47:09.199625,26.02,101080.86,58.52,20.35,-9.42,1.57,-2.66,0.04,-0.03,0.03,3625,16,12,12,41
2021-08-25 12:47:09.679725,26.01,101080.86,61.32,20.35,-9.44,1.61,-2.58,0.05,-0.05,0.02,2438,16,12,12,41
2021-08-25 12:47:10.165492,25.99,101079.89,63.90,20.43,-9.43,1.56,-2.60,0.06,-0.07,0.01,3293,16,12,12,41
2021-08-25 12:47:10.639246,25.99,101078.88,66.06,20.51,-9.44,1.60,-2.66,0.06,-0.06,0.01,993,16,12,12,41
2021-08-25 12:47:11.121186,25.95,101077.83,67.98,20.60,-9.44,1.54,-2.71,0.06,-0.07,0.02,1325,16,12,12,41
2021-08-25 12:47:11.599412,25.94,101081.61,69.07,20.28,-9.45,1.52,-2.70,0.08,-0.09,0.03,141,16,12,12,41
2021-08-25 12:47:12.079081,25.92,101079.20,69.26,20.48,-9.44,1.59,-2.71,0.08,-0.11,0.00,109,16,12,12,41
2021-08-25 12:47:12.560135,25.91,101081.12,68.30,20.32,-9.40,1.59,-2.71,0.09,-0.11,-0.00,2019,16,12,12,41
